福建艾派文具, 东革新里42永外城礼品大楼B座B115, 购物服务;文化用品店;文化用品店, 116.391002,39.863655, 116.397240,39.865056, 116.403640,39.871408
艾莱依, 永定门外大街101号百荣世贸商城2C048-051、239号(百荣世贸商城B座西), 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.391822,39.859659, 116.398060,39.861060, 116.404458,39.867413
艾玛美之瑶婴儿游泳馆(东直门店), 东直门外大街４８号东方银座Ｂ座６Ｅ室, 生活服务;生活服务场所;生活服务场所, 116.429273,39.938579, 116.435488,39.939960, 116.442006,39.945855
艾拉奇品牌内衣, 永定门外大街101号百荣世贸商城C座4SC169号, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.391842,39.859385, 116.398080,39.860786, 116.404478,39.867139
艾迪留学机构, 崇文门外大街3号B北京新世界中心写字楼B座7层, 科教文化服务;学校;学校, 116.411810,39.897222, 116.418045,39.898620, 116.424476,39.904825
艾尚彩妆工作室, 西打磨厂街7号宝鼎大厦B座10层1005室, 生活服务;美容美发店;美容美发店, 116.402247,39.898037, 116.408488,39.899440, 116.414880,39.905755
艾瓦婚礼策划, 和平里中街29号(近地坛公园北门), 生活服务;生活服务场所;生活服务场所, 116.405962,39.955697, 116.412209,39.957101, 116.418610,39.963380
艾敏林氏珠宝, 天坛路9号红桥市场4311, 购物服务;专卖店;珠宝首饰工艺品, 116.414323,39.884684, 116.420553,39.886080, 116.427009,39.892250
艾菲尔婚礼策划, 朝内小街2号, 生活服务;生活服务场所;生活服务场所, 116.419912,39.923066, 116.426140,39.924458, 116.432598,39.930522
阳光艾玛(东直门店), 东直门外大街42号宇飞大厦7层723室, 生活服务;美容美发店;美容美发店, 116.429697,39.938979, 116.435911,39.940360, 116.442431,39.946248
艾尚轮滑俱乐部, 永定门(永定门城楼南侧), 体育休闲服务;运动场馆;运动场所, 116.393021,39.871288, 116.399260,39.872690, 116.405659,39.879045
北京艾信旅行社, 青年湖南街19号, 生活服务;生活服务场所;生活服务场所, 116.393269,39.952537, 116.399519,39.953943, 116.405893,39.960290
艾米舞蹈工作室, 朝阳门北大街8号富华大厦B1层(东四十条), 体育休闲服务;运动场馆;健身中心, 116.429447,39.929379, 116.435660,39.930760, 116.442176,39.936652
北京艾德惠研市场调查有限公司, 金宝街58号华丽大厦2层2008, 公司企业;公司;公司, 116.419047,39.913810, 116.425275,39.915203, 116.431732,39.921284
艾迪米斯(东方新天地店), 东长安街1号东方广场东方新天地地铁层, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.406304,39.908262, 116.412544,39.909664, 116.418940,39.915937
艾玛美之瑶母婴生活馆(崇文门店), 崇文门新世界商场二期太华公寓B座1109室, 生活服务;美容美发店;美容美发店, 116.410885,39.895245, 116.417120,39.896644, 116.423549,39.902863
艾捷科技公司, 建国门内大街7号光华长安大厦第1座10层1003, 公司企业;公司企业;公司企业, 116.423920,39.908042, 116.430140,39.909429, 116.436632,39.915423
迪艾薇(王府井百货店), 王府井大街255号王府井百货2楼(近王府井步行街), 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.404688,39.912527, 116.410930,39.913930, 116.417317,39.920219
艾威博通公司, 夕照寺中街31号FREE自由季大厦B座817, 公司企业;公司企业;公司企业, 116.430795,39.888617, 116.437000,39.889994, 116.443552,39.895872
艾莫尼亚意大利纯正冰淇淋, 朝阳门北大街5号五矿广场B座1层, 餐饮服务;甜品店;甜品店, 116.426209,39.929922, 116.432428,39.931307, 116.438924,39.937256
艾甜婚纱彩妆造型馆, 金宝街58号华丽大厦6层, 生活服务;美容美发店;美容美发店, 116.419062,39.913817, 116.425290,39.915210, 116.431747,39.921291
艾申特乳品专营店(乐天玛特), 崇文门外大街18号国瑞中区乐天玛特入口, 购物服务;综合市场;综合市场, 116.412836,39.897382, 116.419070,39.898780, 116.425506,39.904970
怡恒礼品印刷, 东革新里40-6, 购物服务;专卖店;专营店, 116.391135,39.864156, 116.397373,39.865557, 116.403773,39.871909
北京艾迪国际教育发展有限公司, 崇文门外大街3号B座新世界中心北办公楼703-704室, 公司企业;公司;公司, 116.411582,39.896028, 116.417817,39.897426, 116.424248,39.903635
艾意凯咨询(上海)有限公司, 建国门内大街7号光华长安大厦9层910, 公司企业;公司;公司, 116.424095,39.908180, 116.430315,39.909567, 116.436808,39.915558
北京市性病艾滋病防治协会, 和平里中街16号, 政府机构及社会团体;社会团体;社会团体相关, 116.405337,39.954691, 116.411584,39.956095, 116.417982,39.962381
艾邦投资担保有限公司, 广渠门南小街1号领行国际中心3-1603号, 生活服务;生活服务场所;生活服务场所, 116.436356,39.891632, 116.442550,39.893000, 116.449130,39.898789
艾莱依(百荣世贸商城B座西), 永定门外大街101号百荣世贸商城2C048-051、239, 购物服务;服装鞋帽皮具店;品牌服装店, 116.391879,39.859678, 116.398117,39.861079, 116.404515,39.867432
北京艾薇艾国际美容化妆学校, 崇文门东打磨厂街7号宝鼎中心B座5层,010-67088388, 科教文化服务;培训机构;培训机构, 116.407091,39.898234, 116.413330,39.899635, 116.419739,39.905903
艾迪亚格/鑫香洲港, 建国门内大街18号恒基商城1层094-095, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.421858,39.905472, 116.428081,39.906861, 116.434562,39.912894
艾杰比尼尔森市场研究有限公司, 金宝街58号华丽大厦6层6010-6012, 公司企业;公司;公司, 116.419047,39.913809, 116.425275,39.915202, 116.431732,39.921283
艾力斯特按摩椅专卖店(乐天银泰店), 王府井步行街88号乐天银泰百货6层, 购物服务;家居建材市场;家居建材市场, 116.405520,39.914991, 116.411762,39.916394, 116.418150,39.922674
艾美蒂丝精油专营店, 前门步行街向东200米世纪鼎批发市场, 购物服务;专卖店;专营店, 116.396672,39.889666, 116.402914,39.891069, 116.409304,39.897417
艾元堂专业艾灸健康调理, 东花市南里东区MOHO国际公寓底商(近广渠门中学), 生活服务;生活服务场所;生活服务场所, 116.430320,39.894249, 116.436527,39.895627, 116.443071,39.901511
鄂尔多斯艾力停车场, 金宝街18号, 交通设施服务;停车场;公共停车场, 116.422981,39.913679, 116.429204,39.915067, 116.435686,39.921077
艾娜化妆摄影工作室, 东单三条8-16号东方广场东配楼B3、B4写字间8318, 生活服务;摄影冲印店;摄影冲印, 116.409694,39.908962, 116.415932,39.910362, 116.422342,39.916593
艾美国际美容机构(东直门店), 东直门外大街48号东方银座B座18A室, 生活服务;美容美发店;美容美发店, 116.430136,39.939022, 116.436349,39.940402, 116.442872,39.946282
首艾中医养生会馆(花市店), 东花市大街, 医疗保健服务;医药保健销售店;医疗保健用品, 116.422426,39.895820, 116.428647,39.897208, 116.435141,39.903234
艾普蕾妮, 东长安街1号东方广场东方新天地AA11号晨曦百货1楼, 购物服务;个人用品/化妆品店;其它个人用品店, 116.408297,39.907802, 116.414536,39.909203, 116.420941,39.915453
艾陆国际婚礼策划, 东二环广渠门桥名敦道A3座421室, 生活服务;生活服务场所;生活服务场所, 116.441214,39.891208, 116.447396,39.892567, 116.453998,39.898293
艾斯欧格高级洋服定制会所, 金宝街18号鄂尔多斯艾力酒店大堂, 生活服务;生活服务场所;生活服务场所, 116.422614,39.913934, 116.428837,39.915323, 116.435316,39.921340
北京市艾滋病监测检验中心, 和平里中街16号, 政府机构及社会团体;公检法机构;公证鉴定机构, 116.405345,39.954696, 116.411592,39.956100, 116.417990,39.962386
台湾艾多尔泡芙工坊, 前门大街南晓顺胡同4-4号, 餐饮服务;餐饮相关场所;餐饮相关, 116.394278,39.894477, 116.400520,39.895880, 116.406904,39.902230
飘城艾克倩希专业美容美体, 东四南大街61号, 生活服务;美容美发店;美容美发店, 116.411215,39.919934, 116.417453,39.921334, 116.423863,39.927541
艾妮婚礼策划体验馆(东四分店), 东四十条甲22号南新仓商务大厦(近保利大厦,东四十条桥,青蓝大厦), 生活服务;生活服务场所;生活服务场所, 116.423782,39.931876, 116.430006,39.933264, 116.436487,39.939257
北京诺艾尔国际运输代理有限公司, 东四十条甲22号南新仓商务大厦B座6层621, 生活服务;物流速递;物流速递, 116.424682,39.931342, 116.430904,39.932729, 116.437391,39.938706
保罗威特酷艾购商贸中心, 安定门内大街206号, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.402401,39.942496, 116.408648,39.943901, 116.415026,39.950210
吉祥草艾灸调理, 新中街68号聚龙花园8号楼, 生活服务;洗浴推拿场所;洗浴推拿场所|医疗保健服务;医疗保健服务场所;医疗保健服务场所, 116.434582,39.928916, 116.440785,39.930288, 116.447330,39.936095
凯德申/艾斯菲尔, 永定门外大街101-2号百荣世贸商城2C164-166, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.391866,39.859672, 116.398104,39.861073, 116.404502,39.867426
北京市崇文区性病艾滋病防治所, 金鱼池西晓市16号, 医疗保健服务;疾病预防机构;疾病预防, 116.403331,39.889327, 116.409571,39.890729, 116.415975,39.897038
艾滋病监测检验中心, 和平里中街16号, 生活服务;生活服务场所;生活服务场所, 116.405293,39.955226, 116.411540,39.956630, 116.417938,39.962916
北京艾悠游信息技术有限公司, 长青园7号, 公司企业;公司企业;公司企业, 116.417884,39.872797, 116.424109,39.874189, 116.430591,39.880301
艾迪米斯, 东长安街1号东方广场东方新天地地铁层, 餐饮服务;餐饮相关场所;餐饮相关, 116.406029,39.908018, 116.412270,39.909420, 116.418665,39.915697
艾米美睫, 东直门外大街东方银座公寓A座18B室(近东方银座MALL), 医疗保健服务;专科医院;整形美容, 116.429205,39.938249, 116.435420,39.939630, 116.441937,39.945527
艾毅国际幼儿园东湖校园, 东直门外大街35号东湖别墅C座101室, 生活服务;生活服务场所;生活服务场所, 116.435067,39.941230, 116.441270,39.942602, 116.447822,39.948402
艾格(三利百货店), 安定门外大街208号三利百货2楼, 购物服务;购物相关场所;购物相关场所, 116.402402,39.950949, 116.408650,39.952354, 116.415035,39.958665
艾诺斯华达电源系统公司, 灯市口大街33号国中商业大厦1203, 公司企业;公司企业;公司企业, 116.407880,39.917432, 116.414120,39.918834, 116.420516,39.925087
艾科沃电力系统设备公司, 建国门内大街8号中粮广场a510, 公司企业;公司企业;公司企业, 116.423639,39.905982, 116.429860,39.907369, 116.436352,39.913369
艾佛西伊热处理技术公司, 北三环东路36号环球贸易中心b座2006室, 公司企业;公司企业;公司企业, 116.404091,39.967133, 116.410340,39.968538, 116.416745,39.974840
日本碍子株式会社北京代表处, 东长安街1号东方广场W3座1203, 公司企业;公司;公司, 116.405989,39.908377, 116.412230,39.909779, 116.418625,39.916056
北京金丝带性功能障碍研究院, 北京站东街11, 科教文化服务;科研机构;科研机构, 116.427454,39.904052, 116.433668,39.905434, 116.440186,39.911366
北京东义德信语言障碍矫治医学研究所, 天坛南门永定门内东街2号公寓421, 医疗保健服务;医疗保健服务场所;医疗保健服务场所, 116.398059,39.871804, 116.404298,39.873206, 116.410700,39.879553
爱新鲜, 东长安街1号东方广场东方新天地B1层大食代入口, 餐饮服务;冷饮店;冷饮店, 116.408343,39.908060, 116.414582,39.909461, 116.420987,39.915710
爱范儿, 东直门外大街乙36号, 公司企业;公司;公司, 116.435451,39.938140, 116.441653,39.939511, 116.448205,39.945305
逆爱, 南锣鼓巷16-2, 餐饮服务;糕饼店;糕饼店, 116.396999,39.938337, 116.403247,39.939742, 116.409612,39.946081
爱神, 王府井步行街88号乐天银泰百货3层, 购物服务;购物相关场所;购物相关场所, 116.405517,39.914986, 116.411759,39.916389, 116.418147,39.922669
爱慕(北京市百货大楼), 王府井大街255号3层, 购物服务;服装鞋帽皮具店;品牌服装店, 116.403600,39.912204, 116.409842,39.913607, 116.416225,39.919907
北京爱平招待所, 北京东城区南门仓2-5号, 住宿服务;旅馆招待所;旅馆招待所, 116.421899,39.927766, 116.428125,39.929156, 116.434594,39.935184
爱华宾馆, 天坛东里乙48, 住宿服务;宾馆酒店;三星级宾馆, 116.416986,39.874423, 116.423212,39.875816, 116.429688,39.881944
面爱面(东方新天地), 东长安街1号东方广场B1层BB30, 餐饮服务;中餐厅;中餐厅, 116.407258,39.907810, 116.413498,39.909211, 116.419898,39.915474
Life List, 大经厂西巷14, 体育休闲服务;娱乐场所;酒吧, 116.397672,39.940462, 116.403920,39.941867, 116.410287,39.948204
爱足, 东花市大街86号, 生活服务;洗浴推拿场所;洗浴推拿场所, 116.425734,39.895916, 116.431950,39.897300, 116.438465,39.903265
爱康, 王府井大街255号王府井百货内(近王府井步行街), 购物服务;体育用品店;户外用品, 116.404658,39.912227, 116.410900,39.913630, 116.417287,39.919920
欣爱, 王府井步行街88号乐天银泰百货6层, 购物服务;购物相关场所;购物相关场所, 116.405515,39.914987, 116.411757,39.916390, 116.418145,39.922670
爱建证券, 朝阳门内大街298号盈地大厦, 金融保险服务;证券公司;证券公司, 116.412799,39.922428, 116.419036,39.923827, 116.425453,39.930011
爱点心, 王府井大街200, 餐饮服务;中餐厅;中餐厅, 116.405769,39.909442, 116.412010,39.910844, 116.418403,39.917123
芝士青年, 鼓楼东大街141, 餐饮服务;休闲餐饮场所;休闲餐饮场所, 116.395961,39.939606, 116.402209,39.941011, 116.408574,39.947352
爱地大厦, 和平里东街1号, 商务住宅;楼宇;商务写字楼, 116.418387,39.957417, 116.424622,39.958812, 116.431088,39.964909
藏爱, 王府井步行街88号乐天银泰百货3层, 购物服务;购物相关场所;购物相关场所, 116.405494,39.914972, 116.411736,39.916375, 116.418124,39.922655
我爱我家, 朝阳门北小街8号楼, 生活服务;中介机构;中介机构, 116.420200,39.925754, 116.426428,39.927146, 116.432887,39.933205
爱家纺(东四店), 东四北大街470, 购物服务;家居建材市场;布艺市场, 116.411262,39.923230, 116.417500,39.924630, 116.423909,39.930836
子爵咖啡, 交道口北二条45号, 餐饮服务;咖啡厅;咖啡厅, 116.403249,39.941281, 116.409495,39.942685, 116.415875,39.948987
面爱面(安定门店), 天坛东路80号国际网球中心旁边, 餐饮服务;外国餐厅;日本料理, 116.415470,39.872255, 116.421698,39.873649, 116.428166,39.879802
面爱面(工美店), 王府井大街200工美大厦食街B1层, 餐饮服务;快餐厅;快餐厅, 116.405473,39.909579, 116.411714,39.910981, 116.418106,39.917263
爱帝(北京), 东四北大街259号, 购物服务;购物相关场所;购物相关场所, 116.410778,39.930190, 116.417018,39.931590, 116.423424,39.937803
爱克多, 东三环南路59号富力城(近芳草地小学), 购物服务;超级市场;超市, 116.443253,39.892545, 116.449430,39.893900, 116.456038,39.899605
爱茜茜里(北京市百货大楼), 王府井大街255号2层, 餐饮服务;冷饮店;冷饮店, 116.403535,39.912371, 116.409777,39.913774, 116.416160,39.920074
爱美美甲, 安定门外西河沿17号, 生活服务;美容美发店;美容美发店, 116.397121,39.949836, 116.403370,39.951242, 116.409744,39.957583
美爱美超市, 和平里七区15号楼, 购物服务;超级市场;超市, 116.417594,39.958932, 116.423830,39.960328, 116.430292,39.966439
爱三希, 广渠门内大街88-4, 购物服务;专卖店;自行车专卖店, 116.419329,39.891695, 116.425554,39.893087, 116.432033,39.899170
简爱诺(北京市百货大楼), 王府井大街255号2层, 购物服务;服装鞋帽皮具店;品牌服装店, 116.404042,39.911893, 116.410284,39.913296, 116.416669,39.919592
爱儿健, 崇文门外大街3号新世界百货, 购物服务;专卖店;儿童用品店, 116.411835,39.896762, 116.418070,39.898160, 116.424502,39.904365
